4 3
1 50
61.4186 00002649_00000001_slap_S_01.png 00002649_00000001_roll_V_01.png
85.9650 00002330_00000001_roll_V_01.png 00002330_00000001_roll_U_01.png
110.8447 00002312_00000001_roll_U_01.png 00002312_00000001_slap_R_01.png
73.8750 00002649_00000001_roll_V_01.png 00002312_00000001_roll_V_01.png
80.5734 00002649_00000001_roll_U_01.png 00002330_00000001_roll_U_01.png
107.8299 00002330_00000001_slap_R_01.png 00002312_00000001_slap_R_01.png
65.1202 00002330_00000001_roll_U_01.png 00002649_00000001_roll_V_01.png
94.5231 00002312_00000001_roll_V_01.png 00002649_00000001_slap_S_01.png
59.8975 00002649_00000001_slap_S_01.png 00002312_00000001_roll_U_01.png

4 50
64.5612 00002649_00000001_slap_S_01.png 00002649_00000001_roll_V_01.png
75.6612 00002330_00000001_roll_V_01.png 00002330_00000001_roll_U_01.png
56.2556 00002312_00000001_roll_U_01.png 00002312_00000001_slap_R_01.png
74.3088 00002649_00000001_roll_V_01.png 00002312_00000001_roll_V_01.png
93.7816 00002649_00000001_roll_U_01.png 00002330_00000001_roll_U_01.png
77.4544 00002330_00000001_slap_R_01.png 00002312_00000001_slap_R_01.png
66.3288 00002330_00000001_roll_U_01.png 00002649_00000001_roll_V_01.png
60.6396 00002312_00000001_roll_V_01.png 00002649_00000001_slap_S_01.png
76.4908 00002649_00000001_slap_S_01.png 00002312_00000001_roll_U_01.png

4 300
77.0405 00002649_00000001_slap_S_01.png 00002649_00000001_roll_V_01.png
85.8460 00002330_00000001_roll_V_01.png 00002330_00000001_roll_U_01.png
66.0002 00002312_00000001_roll_U_01.png 00002312_00000001_slap_R_01.png
75.4980 00002649_00000001_roll_V_01.png 00002312_00000001_roll_V_01.png
89.6501 00002649_00000001_roll_U_01.png 00002330_00000001_roll_U_01.png
84.5803 00002330_00000001_slap_R_01.png 00002312_00000001_slap_R_01.png
70.9991 00002330_00000001_roll_U_01.png 00002649_00000001_roll_V_01.png
76.4328 00002312_00000001_roll_V_01.png 00002649_00000001_slap_S_01.png
85.3926 00002649_00000001_slap_S_01.png 00002312_00000001_roll_U_01.png

4 500
60.4462 00002649_00000001_slap_S_01.png 00002649_00000001_roll_V_01.png
85.9315 00002330_00000001_roll_V_01.png 00002330_00000001_roll_U_01.png
110.7051 00002312_00000001_roll_U_01.png 00002312_00000001_slap_R_01.png
69.7575 00002649_00000001_roll_V_01.png 00002312_00000001_roll_V_01.png
78.1062 00002649_00000001_roll_U_01.png 00002330_00000001_roll_U_01.png
107.2827 00002330_00000001_slap_R_01.png 00002312_00000001_slap_R_01.png
61.2442 00002330_00000001_roll_U_01.png 00002649_00000001_roll_V_01.png
94.4777 00002312_00000001_roll_V_01.png 00002649_00000001_slap_S_01.png
60.1111 00002649_00000001_slap_S_01.png 00002312_00000001_roll_U_01.png
